Rank,Cavern,Kraken,Yeti,Dragon,Temple,Shrunk,Mobs,Body,Canyon,Excalibur,Icarus,Celts,Average
Elite,0:55.563,1:06.548,0:59.551,0:53.201,1:06.947,1:14.450,1:11.799,1:31.400,0:57.738,1:08.647,1:14.996,1:07.395,1:07.353
Legend,0:56.500,1:08.500,1:01.000,0:54.000,1:09.000,1:16.000,1:15.500,1:33.500,0:59.000,1:09.500,1:16.000,1:08.500,1:08.917
Master,0:58.000,1:09.500,1:03.500,0:55.000,1:10.500,1:18.500,1:16.500,1:36.000,1:00.000,1:11.000,1:17.500,1:10.000,1:10.500
Expert,0:59.000,1:11.000,1:06.000,0:56.000,1:12.000,1:21.000,1:18.000,1:38.500,1:02.000,1:12.500,1:19.000,1:12.000,1:12.250
Pro,1:00.250,1:13.000,1:08.000,0:58.000,1:14.000,1:25.000,1:20.000,1:41.000,1:05.000,1:15.000,1:23.000,1:15.000,1:14.771
Skilled,1:03.000,1:16.000,1:11.000,1:01.000,1:17.000,1:30.000,1:23.000,1:46.000,1:07.500,1:18.000,1:28.000,1:19.000,1:18.292
Intermediate,1:06.000,1:20.000,1:15.000,1:05.000,1:21.000,1:40.000,1:28.000,1:51.000,1:12.000,1:23.000,1:35.000,1:26.000,1:23.500
Beginner,1:10.000,1:25.000,1:21.000,1:10.000,1:28.000,1:55.000,1:35.000,2:00.000,1:20.000,1:30.000,1:45.000,1:35.000,1:31.167
